TANGGAL,AKTUAL,PREDIKSI,PREDIKSI_MM,AKTUAL_MM
2024-04-14,1.0,0.39763734,45.887349036,115.4
2024-04-15,0.0,0.39615348,45.716111592000004,0.0
2024-04-16,0.5287356321839081,0.283259,32.6880886,61.016091954023
2024-04-17,0.0367816091954023,0.2690879,31.05274366,4.244597701149425
2024-04-18,0.0,0.37248078,42.984282012,0.0
2024-04-19,1.0,0.68140733,78.634405882,115.4
2024-04-20,0.593103448275862,0.5057804,58.367058160000006,68.44413793103448
2024-04-21,0.0,0.27571,31.816934000000003,0.0
2024-04-22,0.6252873563218391,0.6387333,73.70982282,72.15816091954024
2024-04-23,0.1011494252873563,0.44619092,51.490432168,11.672643678160918
2024-04-24,1.0,0.8078422,93.22498988,115.4
2024-04-25,0.0367816091954023,0.5393911,62.24573294,4.244597701149425
2024-04-26,0.8045977011494253,0.8882505,102.5041077,92.85057471264369
2024-04-27,0.3999999999999999,0.30484647,35.179282638,46.15999999999999
2024-04-28,0.0183908045977011,0.12945211,14.938773494000001,2.122298850574707
2024-04-29,0.1563218390804597,0.75269496,86.86099838400001,18.039540229885052
2024-04-30,0.0,0.607878,70.14912120000001,0.0
2024-05-01,0.0,0.18547633,21.403968482,0.0
2024-05-02,1.0,0.26415715,30.48373511,115.4
2024-05-03,0.0413793103448275,0.3178128,36.67559712,4.775172413793094
2024-05-04,0.032183908045977,0.14766407,17.040433678000003,3.7140229885057456
2024-05-05,0.0,-0.03676831,-4.243062974,0.0
2024-05-06,0.0,0.12054186,13.910530644000001,0.0
2024-05-07,0.0,-0.048236288,-5.5664676352,0.0
2024-05-08,0.032183908045977,0.095171474,10.9827880996,3.7140229885057456
2024-05-09,0.032183908045977,0.17861271,20.611906734,3.7140229885057456
2024-05-10,0.032183908045977,0.28974256,33.436291424,3.7140229885057456
2024-05-11,0.0,0.19370309,22.353336586,0.0
2024-05-12,0.0,0.19752884,22.794828136000003,0.0
2024-05-13,0.032183908045977,0.28862295,33.30708843,3.7140229885057456
2024-05-14,0.032183908045977,0.18259609,21.071588786,3.7140229885057456
2024-05-15,0.032183908045977,0.19536379,22.544981366000002,3.7140229885057456
2024-05-16,0.032183908045977,0.34725314,40.07301235600001,3.7140229885057456
2024-05-17,0.032183908045977,-0.0033181235,-0.3829114519,3.7140229885057456
2024-05-18,0.0091954022988505,0.18803975,21.699787150000002,1.0611494252873477
2024-05-19,0.0,0.18652984,21.525543536,0.0
2024-05-20,0.032183908045977,0.15823248,18.260028192000004,3.7140229885057456
2024-05-21,0.032183908045977,0.12833683,14.810070182000002,3.7140229885057456
2024-05-22,0.032183908045977,0.095139265,10.979071181,3.7140229885057456
2024-05-23,0.032183908045977,0.21489093,24.798413322000002,3.7140229885057456
2024-05-24,0.128735632183908,0.19079715,22.01799111,14.856091954022983
2024-05-25,0.1747126436781609,0.540561,62.380739399999996,20.161839080459767
2024-05-26,0.032183908045977,0.5153691,59.47359414,3.7140229885057456
2024-05-27,0.032183908045977,0.31497276,36.347856504000006,3.7140229885057456
2024-05-28,0.032183908045977,0.3543744,40.89480576,3.7140229885057456
2024-05-29,0.032183908045977,0.35433045,40.889733930000006,3.7140229885057456
2024-05-30,0.032183908045977,0.35328168,40.768705872,3.7140229885057456
2024-05-31,0.032183908045977,0.4294884,49.56296136,3.7140229885057456
2024-06-01,0.032183908045977,0.30685163,35.410678102,3.7140229885057456
2024-06-02,0.0,0.2313247,26.69487038,0.0
2024-06-03,0.0,0.308803,35.6358662,0.0
2024-06-04,0.032183908045977,0.09681824,11.172824896,3.7140229885057456
2024-06-05,0.032183908045977,0.14128593,16.304396322000002,3.7140229885057456
2024-06-06,0.0,0.11123574,12.836604396,0.0
2024-06-07,0.0,0.025937103,2.9931416862,0.0
2024-06-08,0.0,0.11961822,13.803942588,0.0
2024-06-09,0.032183908045977,0.12203835,14.083225590000001,3.7140229885057456
2024-06-10,0.032183908045977,0.20680095,23.864829630000003,3.7140229885057456
